employee_id,full_name,name,city,skillset,years_exp,expected_salary,linkedin_url
E0001,Meera Yadav,Employee_0001,Hyderabad,"Python, Deep Learning",2,8.85,https://www.linkedin.com/in/meera-yadav
E0002,Meera Mukherjee,Employee_0002,Mumbai,"C++, Power BI, Java, Deep Learning",0,3.0,https://www.linkedin.com/in/meera-mukherjee
E0003,Arjun Verma,Employee_0003,Chennai,"Machine Learning, Deep Learning",6,12.68,https://www.linkedin.com/in/arjun-verma
E0004,Dhruv Gupta,Employee_0004,Bangalore,"SQL, Kubernetes, Node.js, Python, Deep Learning, Power BI",10,16.43,https://www.linkedin.com/in/dhruv-gupta
E0005,Yash Banerjee,Employee_0005,Bangalore,"C++, Docker, Kubernetes",1,5.35,https://www.linkedin.com/in/yash-banerjee
E0006,Zoya Kapoor,Employee_0006,Bangalore,"Docker, C++",6,11.04,https://www.linkedin.com/in/zoya-kapoor
E0007,Dhruv Bose,Employee_0007,Hyderabad,"Node.js, C++, AWS, Kubernetes, JavaScript, Python",4,10.11,https://www.linkedin.com/in/dhruv-bose
E0008,Reyansh Khan,Employee_0008,Bangalore,"Deep Learning, Node.js, React",6,11.85,https://www.linkedin.com/in/reyansh-khan
E0009,Saanvi Desai,Employee_0009,Delhi,"Java, C++, Data Analysis, React",0,5.86,https://www.linkedin.com/in/saanvi-desai
E0010,Tara Gupta,Employee_0010,Hyderabad,"SQL, Node.js",1,6.02,https://www.linkedin.com/in/tara-gupta
E0011,Harsh Mehta,Employee_0011,Mumbai,"React, Tableau",0,3.0,https://www.linkedin.com/in/harsh-mehta
E0012,Vihaan Sharma,Employee_0012,Hyderabad,"Kubernetes, JavaScript, Data Analysis, Python",1,4.98,https://www.linkedin.com/in/vihaan-sharma
E0013,Aarohi Chauhan,Employee_0013,Delhi,"Docker, SQL, Node.js, Tableau, Power BI",5,12.62,https://www.linkedin.com/in/aarohi-chauhan
E0014,Reyansh Desai,Employee_0014,Mumbai,"Tableau, Machine Learning, Kubernetes, React",12,27.38,https://www.linkedin.com/in/reyansh-desai
E0015,Sarthak Mehta,Employee_0015,Bangalore,"C++, Deep Learning, SQL, Python, Machine Learning, Power BI",0,3.0,https://www.linkedin.com/in/sarthak-mehta
E0016,Anaya Chauhan,Employee_0016,Bangalore,"SQL, Tableau, C++, Power BI",3,9.57,https://www.linkedin.com/in/anaya-chauhan
E0017,Krisha Mehta,Employee_0017,Delhi,"JavaScript, AWS, Machine Learning, React, Java",1,4.2,https://www.linkedin.com/in/krisha-mehta
E0018,Ayaan Shetty,Employee_0018,Bangalore,"React, C++, Machine Learning, JavaScript",0,5.09,https://www.linkedin.com/in/ayaan-shetty
E0019,Aarav Iyer,Employee_0019,Pune,"Kubernetes, Machine Learning",0,4.83,https://www.linkedin.com/in/aarav-iyer
E0020,Neha Bose,Employee_0020,Bangalore,"Docker, Deep Learning, C++",9,14.77,https://www.linkedin.com/in/neha-bose
E0021,Harsh Singh,Employee_0021,Bangalore,"AWS, Node.js, JavaScript",10,20.31,https://www.linkedin.com/in/harsh-singh
E0022,Ananya Mukherjee,Employee_0022,Pune,"C++, Machine Learning, React, Python, Power BI, Deep Learning",1,6.38,https://www.linkedin.com/in/ananya-mukherjee
E0023,Aarohi Sharma,Employee_0023,Pune,"Node.js, JavaScript, SQL, C++",11,19.83,https://www.linkedin.com/in/aarohi-sharma
E0024,Rohan Joshi,Employee_0024,Hyderabad,"Power BI, Deep Learning, React, C++, Machine Learning, AWS",9,19.93,https://www.linkedin.com/in/rohan-joshi
E0025,Ayaan Shetty,Employee_0025,Bangalore,"Power BI, Machine Learning, AWS, Java, JavaScript",5,9.81,https://www.linkedin.com/in/ayaan-shetty
E0026,Meera Iyer,Employee_0026,Hyderabad,"C++, Deep Learning, Docker",0,3.26,https://www.linkedin.com/in/meera-iyer
E0027,Neha Shetty,Employee_0027,Delhi,"JavaScript, Deep Learning, Kubernetes, Node.js, Data Analysis, Tableau",11,19.04,https://www.linkedin.com/in/neha-shetty
E0028,Ira Singh,Employee_0028,Bangalore,"C++, Java, Docker, AWS",0,3.16,https://www.linkedin.com/in/ira-singh
E0029,Ananya Gupta,Employee_0029,Mumbai,"Data Analysis, Python",11,24.85,https://www.linkedin.com/in/ananya-gupta
E0030,Rohan Gowda,Employee_0030,Hyderabad,"Java, Machine Learning",9,17.71,https://www.linkedin.com/in/rohan-gowda
E0031,Neha Sharma,Employee_0031,Bangalore,"Data Analysis, Machine Learning, Node.js",9,20.52,https://www.linkedin.com/in/neha-sharma
E0032,Arjun Patel,Employee_0032,Mumbai,"SQL, Node.js, Tableau, Kubernetes, AWS, Docker",0,5.27,https://www.linkedin.com/in/arjun-patel
E0033,Pooja Bose,Employee_0033,Bangalore,"Docker, Tableau, Python, Machine Learning",0,3.67,https://www.linkedin.com/in/pooja-bose
E0034,Ayaan Khan,Employee_0034,Bangalore,"Machine Learning, Docker",0,5.77,https://www.linkedin.com/in/ayaan-khan
E0035,Arjun Bose,Employee_0035,Chennai,"Data Analysis, Machine Learning, React, SQL",5,12.27,https://www.linkedin.com/in/arjun-bose
E0036,Harsh Joshi,Employee_0036,Bangalore,"Node.js, Java, AWS, Python",12,20.81,https://www.linkedin.com/in/harsh-joshi
E0037,Harsh Gupta,Employee_0037,Hyderabad,"Docker, Data Analysis, Java, Power BI",1,5.67,https://www.linkedin.com/in/harsh-gupta
E0038,Ishaan Chauhan,Employee_0038,Bangalore,"Tableau, Machine Learning",0,5.63,https://www.linkedin.com/in/ishaan-chauhan
E0039,Pooja Mehta,Employee_0039,Bangalore,"Tableau, Machine Learning, Docker, Kubernetes",0,5.94,https://www.linkedin.com/in/pooja-mehta
E0040,Tara Khan,Employee_0040,Pune,"Java, React, Data Analysis",7,15.62,https://www.linkedin.com/in/tara-khan
E0041,Ishaan Verma,Employee_0041,Hyderabad,"Docker, Data Analysis, Power BI",2,7.95,https://www.linkedin.com/in/ishaan-verma
E0042,Nisha Kapoor,Employee_0042,Bangalore,"Kubernetes, React",0,3.28,https://www.linkedin.com/in/nisha-kapoor
E0043,Anaya Mehta,Employee_0043,Bangalore,"Python, SQL, React, JavaScript, C++",0,4.71,https://www.linkedin.com/in/anaya-mehta
E0044,Aditi Desai,Employee_0044,Bangalore,"C++, Kubernetes",5,11.49,https://www.linkedin.com/in/aditi-desai
E0045,Om Verma,Employee_0045,Bangalore,"SQL, Deep Learning",8,17.82,https://www.linkedin.com/in/om-verma
E0046,Anaya Reddy,Employee_0046,Mumbai,"Tableau, SQL, Data Analysis, Docker, Java",2,8.28,https://www.linkedin.com/in/anaya-reddy
E0047,Zoya Patel,Employee_0047,Hyderabad,"Machine Learning, AWS, Docker",1,7.0,https://www.linkedin.com/in/zoya-patel
E0048,Pooja Desai,Employee_0048,Mumbai,"JavaScript, Docker, Kubernetes",5,9.34,https://www.linkedin.com/in/pooja-desai
E0049,Kunal Gupta,Employee_0049,Bangalore,"C++, Docker, Data Analysis, Deep Learning, Power BI",11,22.13,https://www.linkedin.com/in/kunal-gupta
E0050,Nisha Mukherjee,Employee_0050,Delhi,"Node.js, Machine Learning, Tableau, React",8,20.89,https://www.linkedin.com/in/nisha-mukherjee
E0051,Harsh Chauhan,Employee_0051,Mumbai,"Power BI, Docker, AWS, SQL, C++",7,11.52,https://www.linkedin.com/in/harsh-chauhan
E0052,Neha Iyer,Employee_0052,Pune,"SQL, React, Python",6,9.65,https://www.linkedin.com/in/neha-iyer
E0053,Dev Bose,Employee_0053,Pune,"Docker, C++, Kubernetes, Tableau, Python, SQL",0,4.19,https://www.linkedin.com/in/dev-bose
E0054,Ananya Bose,Employee_0054,Bangalore,"C++, SQL",7,14.5,https://www.linkedin.com/in/ananya-bose
E0055,Arjun Patel,Employee_0055,Delhi,"Tableau, React",2,8.19,https://www.linkedin.com/in/arjun-patel
E0056,Ayaan Gowda,Employee_0056,Bangalore,"Docker, C++",7,13.96,https://www.linkedin.com/in/ayaan-gowda
E0057,Pooja Gowda,Employee_0057,Bangalore,"Machine Learning, AWS, C++, Docker",1,7.29,https://www.linkedin.com/in/pooja-gowda
E0058,Sarthak Joshi,Employee_0058,Hyderabad,"Deep Learning, Kubernetes, Tableau",11,23.93,https://www.linkedin.com/in/sarthak-joshi
E0059,Anaya Reddy,Employee_0059,Pune,"C++, Data Analysis, AWS, Node.js, Power BI",6,12.35,https://www.linkedin.com/in/anaya-reddy
E0060,Aarav Khan,Employee_0060,Bangalore,"SQL, Machine Learning",1,5.8,https://www.linkedin.com/in/aarav-khan
E0061,Yash Bose,Employee_0061,Bangalore,"React, Node.js, Tableau, AWS, Python",12,29.22,https://www.linkedin.com/in/yash-bose
E0062,Aarav Verma,Employee_0062,Chennai,"Python, Node.js",0,3.71,https://www.linkedin.com/in/aarav-verma
E0063,Rohan Reddy,Employee_0063,Bangalore,"Data Analysis, Tableau, SQL, C++",12,25.77,https://www.linkedin.com/in/rohan-reddy
E0064,Kunal Reddy,Employee_0064,Hyderabad,"C++, Docker, AWS",10,17.21,https://www.linkedin.com/in/kunal-reddy
E0065,Ananya Sharma,Employee_0065,Bangalore,"Node.js, Java, JavaScript",11,23.61,https://www.linkedin.com/in/ananya-sharma
E0066,Meera Reddy,Employee_0066,Hyderabad,"C++, Tableau, SQL, AWS, Docker",6,14.51,https://www.linkedin.com/in/meera-reddy
E0067,Rohan Gupta,Employee_0067,Pune,"Python, Machine Learning",11,24.51,https://www.linkedin.com/in/rohan-gupta
E0068,Rohan Singh,Employee_0068,Delhi,"Tableau, Python, SQL, C++, Java, Node.js",2,8.11,https://www.linkedin.com/in/rohan-singh
E0069,Priya Joshi,Employee_0069,Hyderabad,"AWS, C++, Node.js, Python, Java",10,23.35,https://www.linkedin.com/in/priya-joshi
E0070,Aditi Joshi,Employee_0070,Delhi,"Python, Node.js, JavaScript, AWS, Data Analysis",9,20.29,https://www.linkedin.com/in/aditi-joshi
E0071,Ananya Kapoor,Employee_0071,Bangalore,"Deep Learning, Power BI, Data Analysis, Docker, Machine Learning",11,19.68,https://www.linkedin.com/in/ananya-kapoor
E0072,Kabir Sharma,Employee_0072,Hyderabad,"Java, C++, JavaScript, Tableau, Python",6,11.23,https://www.linkedin.com/in/kabir-sharma
E0073,Neha Gupta,Employee_0073,Bangalore,"Deep Learning, Docker, Python, Power BI, React, Data Analysis",1,3.79,https://www.linkedin.com/in/neha-gupta
E0074,Reyansh Yadav,Employee_0074,Hyderabad,"Kubernetes, AWS",10,17.39,https://www.linkedin.com/in/reyansh-yadav
E0075,Kunal Mukherjee,Employee_0075,Bangalore,"Power BI, Tableau, Docker, Java, Python, Data Analysis",9,16.85,https://www.linkedin.com/in/kunal-mukherjee
E0076,Kabir Iyer,Employee_0076,Pune,"Tableau, Java",0,4.16,https://www.linkedin.com/in/kabir-iyer
E0077,Kunal Reddy,Employee_0077,Bangalore,"Kubernetes, SQL",8,19.91,https://www.linkedin.com/in/kunal-reddy
E0078,Krisha Banerjee,Employee_0078,Bangalore,"Node.js, SQL, Kubernetes",9,16.51,https://www.linkedin.com/in/krisha-banerjee
E0079,Aarav Reddy,Employee_0079,Pune,"Kubernetes, Power BI, Python",0,5.34,https://www.linkedin.com/in/aarav-reddy
E0080,Reyansh Sharma,Employee_0080,Bangalore,"SQL, Node.js, Machine Learning, Kubernetes, Deep Learning, Docker",3,6.64,https://www.linkedin.com/in/reyansh-sharma
E0081,Anaya Reddy,Employee_0081,Bangalore,"Power BI, JavaScript, C++, Machine Learning",5,13.5,https://www.linkedin.com/in/anaya-reddy
E0082,Zoya Mukherjee,Employee_0082,Pune,"C++, JavaScript, Node.js, Java",12,25.7,https://www.linkedin.com/in/zoya-mukherjee
E0083,Neha Iyer,Employee_0083,Delhi,"AWS, React, Data Analysis, SQL",3,7.62,https://www.linkedin.com/in/neha-iyer
E0084,Sarthak Reddy,Employee_0084,Bangalore,"AWS, Kubernetes",0,3.0,https://www.linkedin.com/in/sarthak-reddy
E0085,Rohan Iyer,Employee_0085,Bangalore,"SQL, Power BI, Docker, C++, Data Analysis, JavaScript",10,21.53,https://www.linkedin.com/in/rohan-iyer
E0086,Kabir Mukherjee,Employee_0086,Hyderabad,"Power BI, React, SQL",4,9.01,https://www.linkedin.com/in/kabir-mukherjee
E0087,Neha Mukherjee,Employee_0087,Bangalore,"React, JavaScript, Java",3,9.62,https://www.linkedin.com/in/neha-mukherjee
E0088,Ananya Reddy,Employee_0088,Mumbai,"Tableau, Docker, Deep Learning, JavaScript, Kubernetes",2,7.41,https://www.linkedin.com/in/ananya-reddy
E0089,Arjun Naik,Employee_0089,Pune,"Python, Machine Learning, Docker, JavaScript, Tableau, SQL",7,11.59,https://www.linkedin.com/in/arjun-naik
E0090,Om Shetty,Employee_0090,Hyderabad,"JavaScript, SQL, Tableau",0,5.76,https://www.linkedin.com/in/om-shetty
E0091,Harsh Naik,Employee_0091,Hyderabad,"Java, JavaScript, Tableau, Kubernetes, C++, React",3,8.98,https://www.linkedin.com/in/harsh-naik
E0092,Harsh Bose,Employee_0092,Mumbai,"Machine Learning, Power BI, JavaScript",12,23.95,https://www.linkedin.com/in/harsh-bose
E0093,Harsh Bose,Employee_0093,Bangalore,"AWS, JavaScript, Python, SQL, Machine Learning, Node.js",0,3.0,https://www.linkedin.com/in/harsh-bose
E0094,Vihaan Joshi,Employee_0094,Bangalore,"Python, Power BI, React, Java",0,3.0,https://www.linkedin.com/in/vihaan-joshi
E0095,Riya Kapoor,Employee_0095,Bangalore,"Java, Deep Learning, AWS, Docker",10,17.44,https://www.linkedin.com/in/riya-kapoor
E0096,Anaya Bose,Employee_0096,Mumbai,"Docker, Python, SQL, Data Analysis, Java",0,4.52,https://www.linkedin.com/in/anaya-bose
E0097,Rohan Joshi,Employee_0097,Bangalore,"Python, Tableau, React, Kubernetes, Docker, Java",8,17.87,https://www.linkedin.com/in/rohan-joshi
E0098,Ayaan Reddy,Employee_0098,Hyderabad,"Java, Python, JavaScript, React, Tableau",9,22.57,https://www.linkedin.com/in/ayaan-reddy
E0099,Tara Joshi,Employee_0099,Mumbai,"C++, Machine Learning, Power BI, Tableau",2,7.01,https://www.linkedin.com/in/tara-joshi
E0100,Arjun Chauhan,Employee_0100,Delhi,"React, Data Analysis",10,20.44,https://www.linkedin.com/in/arjun-chauhan
E0101,Arjun Kapoor,Employee_0101,Delhi,"Power BI, Tableau, Node.js, Kubernetes, Java, C++",0,4.02,https://www.linkedin.com/in/arjun-kapoor
E0102,Rohan Patel,Employee_0102,Bangalore,"Data Analysis, Power BI, Java",2,7.39,https://www.linkedin.com/in/rohan-patel
E0103,Rohan Banerjee,Employee_0103,Chennai,"Python, Java, Deep Learning, React, Node.js",11,17.28,https://www.linkedin.com/in/rohan-banerjee
E0104,Priya Banerjee,Employee_0104,Hyderabad,"JavaScript, Java, Data Analysis",12,24.43,https://www.linkedin.com/in/priya-banerjee
E0105,Sarthak Shetty,Employee_0105,Delhi,"Node.js, Tableau",1,6.15,https://www.linkedin.com/in/sarthak-shetty
E0106,Ira Iyer,Employee_0106,Hyderabad,"Tableau, AWS",9,18.85,https://www.linkedin.com/in/ira-iyer
E0107,Aarohi Bose,Employee_0107,Mumbai,"C++, Tableau, AWS",0,3.77,https://www.linkedin.com/in/aarohi-bose
E0108,Neha Singh,Employee_0108,Delhi,"JavaScript, Tableau, Data Analysis, C++",2,5.16,https://www.linkedin.com/in/neha-singh
E0109,Harsh Sharma,Employee_0109,Pune,"Python, Machine Learning, C++",6,10.02,https://www.linkedin.com/in/harsh-sharma
E0110,Ananya Shetty,Employee_0110,Bangalore,"React, JavaScript, SQL, Tableau, Power BI",0,4.82,https://www.linkedin.com/in/ananya-shetty
E0111,Aarohi Khan,Employee_0111,Bangalore,"Node.js, Machine Learning, Docker, React, Python, SQL",0,3.5,https://www.linkedin.com/in/aarohi-khan
E0112,Anaya Desai,Employee_0112,Delhi,"Java, Kubernetes, JavaScript, Python",10,25.52,https://www.linkedin.com/in/anaya-desai
E0113,Saanvi Bose,Employee_0113,Hyderabad,"Kubernetes, Node.js",3,8.91,https://www.linkedin.com/in/saanvi-bose
E0114,Om Singh,Employee_0114,Hyderabad,"Deep Learning, Data Analysis, React, Node.js",3,8.22,https://www.linkedin.com/in/om-singh
